"city_id","district"
302,"Shandong"
580,"Shandong"
574,"Shandong"
145,"Shandong"
291,"Shandong"
432,"Shandong"
80,"Shandong"
584,"Shandong"
315,"Shaba"
378,"Severn Morava"
149,"Scotland"
465,"Sawhaj"
282,"Sarawak"
460,"Santiago"
457,"Santa F"
83,"Santa Catarina"
455,"Sanaa"
447,"Salzburg"
228,"Saitama"
555,"Saitama"
380,"Saitama"
442,"Saint-Denis"
342,"Sagaing"
439,"Saarland"
436,"Ruse"
369,"Rostov-na-Donu"
84,"Roraima"
405,"Risaralda"
147,"Risaralda"
21,"Rio Grande do Sul"
44,"Rio Grande do Sul"
486,"Rio Grande do Sul"
25,"Rio de Janeiro"
550,"Rajasthan"
74,"Rajasthan"
243,"Rajasthan"
231,"Rajasthan"
443,"Rabat-Sal-Zammour-Z"
179,"Qubec"
216,"Qina"
598,"Qaraghandy"
420,"Pyongyang-si"
375,"Punjab"
399,"Punjab"
324,"Punjab"
400,"Punjab"
208,"Punjab"
450,"Puerto Plata"
40,"Puebla"
543,"Provence-Alpes-Cte"
411,"Ponce"
387,"Pohjois-Pohjanmaa"
503,"Piura"
274,"Pietari"
17,"Piemonte"
406,"Phnom Penh"
572,"Pernambuco"
223,"Perak"
297,"Pays de la Loire"
402,"Pavlodar"
328,"Paran"
66,"Par"
217,"Oyo & Osun"
390,"Oyo & Osun"
374,"Oyo & Osun"
152,"Oyo & Osun"
384,"Osmaniye"
203,"Osaka"
229,"Osaka"
353,"Oriental"
430,"Ontario"
312,"Ontario"
383,"Ontario"
381,"Ondo & Ekiti"
389,"Ondo & Ekiti"
218,"Ondo & Ekiti"
377,"Okinawa"
547,"Okayama"
284,"Okayama"
376,"Okayama"
140,"Ohio"
11,"Ohio"
428,"OHiggins"
452,"Oaxaca"
271,"Nyanza"
196,"Nova Scotia"
327,"Nothwest Border Prov"
391,"Northern Mindanao"
182,"Northern Mindanao"
267,"Northern Cape"
230,"Northern"
437,"North West"
273,"North West"
187,"North Carolina"
307,"North Austria"
148,"Nordrhein-Westfalen"
575,"Nordrhein-Westfalen"
477,"Nordrhein-Westfalen"
52,"Nord-Ouest"
438,"Noord-Brabant"
394,"Nonthaburi"
150,"Nizni Novgorod"
587,"Ningxia"
344,"Ninawa"
571,"Nghe An"
322,"New Hampshire"
306,"Nebraska"
323,"National Capital Reg"
517,"National Capital Reg"
546,"Nantou"
361,"Nantou"
351,"Nampula"
360,"Namibe"
359,"Nam Ha"
358,"Nakhon Sawan"
463,"Nagasaki"
552,"Nagano"
365,"Mxico"
213,"Mxico"
124,"Mxico"
451,"Mxico"
347,"Mwanza"
49,"Moskova"
278,"Moskova"
310,"Moskova"
466,"Moskova"
343,"Moscow (City)"
131,"Morelos"
130,"Morelos"
339,"Mogiljov"
338,"Miyazaki"
441,"Missouri"
262,"Missouri"
373,"Miranda"
340,"Minsk"
413,"Minas Gerais"
215,"Minas Gerais"
248,"Minas Gerais"
287,"Mie"
544,"Midi-Pyrnes"
202,"Michoacn de Ocampo"
556,"Michoacn de Ocampo"
499,"Michigan"
573,"Michigan"
237,"Mekka"
13,"Mekka"
409,"Mazowieckie"
94,"Massachusetts"
329,"Masqat"
31,"Markazi"
349,"Mandalay"
414,"Manab"
398,"Maharashtra"
107,"Maharashtra"
336,"Maharashtra"
77,"Maharashtra"
417,"Maharashtra"
144,"Maharashtra"
9,"Maharashtra"
319,"Mahajanga"
76,"Madhya Pradesh"
475,"Madhya Pradesh"
464,"Madhya Pradesh"
314,"Lubelskie"
91,"Lombardia"
70,"Lombardia"
311,"Loja"
308,"Lipetsk"
238,"Lipetsk"
305,"Lima"
304,"Lilongwe"
303,"Liepaja"
242,"Liaoning"
536,"Liaoning"
588,"Liaoning"
290,"La Romana"
153,"La Paz"
268,"Kyongsangbuk"
553,"Kyonggi"
112,"KwaZulu-Natal"
364,"KwaZulu-Natal"
220,"Kwara & Kogi"
286,"Kursk"
285,"Kurgan"
97,"Kujawsko-Pomorskie"
281,"Ktahya"
479,"Krim"
39,"Krasnojarsk"
597,"Krasnojarsk"
279,"Kowloon and New Kowl"
510,"Komi"
371,"Kitaa"
270,"Kirov"
266,"Kilis"
379,"Khartum"
366,"Khanh Hoa"
100,"Khanh Hoa"
265,"Kermanshah"
481,"Kerman"
395,"Kerala"
18,"Kerala"
507,"Kedah"
78,"Karnataka"
350,"Karnataka"
191,"Karnataka"
473,"Karnataka"
211,"Karnataka"
168,"Kaohsiung"
539,"Kang-won"
440,"Kanagawa"
256,"Kanagawa"
156,"Kalmykia"
254,"Kaliningrad"
412,"Kalimantan Barat"
252,"Kaduna"
596,"Kaduna"
251,"Kabol"
174,"Jilin"
46,"Jilin"
407,"Jiangxi"
109,"Jiangsu"
210,"Jiangsu"
429,"Jharkhand"
418,"Jharkhand"
235,"Jaroslavl"
188,"Jalisco"
595,"Jalisco"
232,"Jakarta Raya"
225,"Ivanovo"
504,"Istanbul"
260,"Ishikawa"
558,"Irkutsk"
540,"Inner Mongolia"
207,"Inner Mongolia"
592,"Inner Mongolia"
241,"Inner Mongolia"
42,"Illinois"
435,"Illinois"
404,"Illinois"
245,"Illinois"
521,"Ibaragi"
298,"Hunan"
579,"Hunan"
293,"Hubei"
578,"Hubei"
166,"Hubei"
594,"Hubei"
159,"Hubei"
214,"Huanuco"
206,"Hodeida"
258,"Hmelnytskyi"
382,"Hiroshima"
205,"Hiroshima"
172,"Hiroshima"
393,"Hidalgo"
212,"Hidalgo"
362,"Henan"
591,"Henan"
581,"Henan"
502,"Heilongjiang"
537,"Heilongjiang"
422,"Hebei"
233,"Hawalli"
498,"Haskovo"
263,"Haryana"
582,"Haryana"
201,"Hanoi"
200,"Hamilton"
194,"Haiphong"
462,"Hainan"
36,"Ha Darom"
34,"Ha Darom"
562,"Gurico"
224,"Gumma"
176,"Gujarat"
73,"Gujarat"
426,"Gujarat"
246,"Guerrero"
471,"Guangdong"
332,"Guangdong"
469,"Guangdong"
468,"Guangdong"
19,"Guanajuato"
563,"Guanajuato"
106,"Guanajuato"
445,"Guanajuato"
28,"Gois"
183,"Gois"
317,"Gois"
26,"Gois"
190,"Gois"
253,"Gifu"
41,"Georgia"
29,"Gelderland"
151,"Gelderland"
180,"Gaziantep"
85,"Gauteng"
497,"Gauteng"
244,"Gauteng"
491,"Gauteng"
240,"Gansu"
47,"Gansu"
388,"Galicia"
459,"Galicia"
1,"Galicia"
173,"Funafuti"
226,"Fukushima"
276,"Fukushima"
175,"Fujian"
551,"Friuli-Venezia Giuli"
87,"Free State"
101,"Florida"
520,"Florida"
512,"Fejr"
569,"Esprito Santo"
163,"Eskisehir"
423,"Esfahan"
356,"Esfahan"
162,"Esfahan"
500,"England"
312,"England"
496,"England"
495,"England"
494,"England"
589,"England"
88,"England"
69,"Edo & Delta"
61,"Eastern Visayas"
348,"East Kasai"
318,"East Java"
415,"East Java"
514,"East Azerbaidzan"
158,"Drenthe"
577,"Dolnoslaskie"
89,"Distrito Federal"
102,"Distrito Federal"
525,"Dhaka"
143,"Dhaka"
234,"Dhaka"
142,"Denizli"
137,"Daugavpils"
128,"Crdoba"
127,"Coquimbo"
272,"Copperbelt"
42,"Colorado"
4,"Coahuila de Zaragoza"
341,"Coahuila de Zaragoza"
541,"Coahuila de Zaragoza"
501,"Chuquisaca"
357,"Chollanam"
115,"Chisinau"
434,"Chimborazo"
250,"Chihuahua"
129,"Chihuahua"
355,"Chiba"
114,"Chiayi"
113,"Cheju"
363,"Chari-Baguirmi"
108,"Changhwa"
467,"Chaharmahal va Bakht"
585,"Centre"
294,"Central Visayas"
280,"Central Serbia"
219,"Central Mindanao"
528,"Central Luzon"
192,"Central Luzon"
519,"Central Luzon"
532,"Central Java"
403,"Central Java"
509,"Central Java"
81,"Central"
453,"Central"
372,"Central"
247,"Cear"
105,"Cayenne"
62,"Caraga"
82,"Caraga"
561,"Carabobo"
170,"Caquet"
103,"Campeche"
99,"Callao"
155,"California"
292,"California"
446,"California"
126,"California"
508,"California"
449,"California"
120,"California"
171,"California"
177,"California"
548,"Cagayan Valley"
222,"Bursa"
95,"Bukarest"
334,"Buenos Aires"
165,"Buenos Aires"
524,"Buenos Aires"
45,"Buenos Aires"
161,"Buenos Aires"
20,"Buenos Aires"
289,"Buenos Aires"
567,"Buenos Aires"
43,"Buenos Aires"
424,"Buenos Aires"
53,"Brunei and Muara"
565,"British Colombia"
92,"Bretagne"
90,"Bratislava"
487,"Boyac"
86,"Botosani"
110,"Bihar"
264,"Bihar"
346,"Bihar"
72,"Bern"
67,"Benguela"
63,"Bchar"
141,"Bauchi & Gombe"
60,"Battambang"
59,"Batna"
58,"Batman"
146,"Baskimaa"
56,"Basel-Stadt"
54,"Banjul"
50,"Balikesir"
48,"Baki"
288,"Baja California Sur"
335,"Baja California"
160,"Baijeri"
325,"Baden-Wrttemberg"
38,"Attika"
37,"Asuncin"
181,"Asturia"
354,"Assam"
2,"Asir"
32,"Arecibo"
93,"Apulia"
55,"Anzotegui"
27,"Antofagasta"
198,"Anhalt Sachsen"
8,"Andhra Pradesh"
568,"Andhra Pradesh"
75,"Andhra Pradesh"
122,"Alto Paran"
16,"al-Sharqiya"
79,"al-Sharqiya"
476,"al-Qalyubiya"
421,"al-Qalyubiya"
15,"al-Qadarif"
14,"al-Manama"
337,"al-Daqahliya"
35,"Ahal"
320,"Adygea"
7,"Aden"
6,"Addis Abeba"
5,"Adana"
529,"Adana"
301,"Aceh"
3,"Abu Dhabi"
12,"Abu Dhabi"
121,""
493,""
583,""
